raceId,season,raceNumber,Grand Prix,Race Date,Driver Code,Team Code,Driver POS Standings,Laps,Team Race Points,Nationality,Team Name,Team Country,Team Champ Points,Team Champ Pos,Team Champ Wins,Driver Champ Points,Driver Champ Pos,Driver Champ Wins,Circuit Name,Race Location,Race Country,Winner
1,2009,1,2.0,20090329,18,23,1,58,18.0,6.0,8.0,2.0,18.0,1.0,1.0,10.0,1.0,1.0,0.0,14.0,0.0,True
1,2009,1,2.0,20090329,22,23,2,58,18.0,5.0,8.0,2.0,18.0,1.0,1.0,8.0,2.0,0.0,0.0,14.0,0.0,False
1,2009,1,2.0,20090329,15,7,20,58,11.0,20.0,34.0,9.0,11.0,2.0,0.0,6.0,3.0,0.0,0.0,14.0,0.0,False
1,2009,1,2.0,20090329,10,7,19,58,11.0,15.0,34.0,9.0,11.0,2.0,0.0,5.0,4.0,0.0,0.0,14.0,0.0,False
1,2009,1,2.0,20090329,4,4,10,58,4.0,29.0,28.0,4.0,4.0,3.0,0.0,4.0,5.0,0.0,0.0,14.0,0.0,False
1,2009,1,2.0,20090329,3,3,5,58,3.0,15.0,36.0,2.0,3.0,4.0,0.0,3.0,6.0,0.0,0.0,14.0,0.0,False
1,2009,1,2.0,20090329,67,5,13,58,3.0,31.0,33.0,8.0,3.0,5.0,0.0,2.0,7.0,0.0,0.0,14.0,0.0,False
1,2009,1,2.0,20090329,7,5,17,58,3.0,14.0,33.0,8.0,3.0,5.0,0.0,1.0,8.0,0.0,0.0,14.0,0.0,False
1,2009,1,2.0,20090329,16,10,16,58,0.0,15.0,11.0,6.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0,14.0,0.0,False
1,2009,1,2.0,20090329,2,2,9,58,0.0,15.0,6.0,5.0,0.0,7.0,0.0,0.0,10.0,0.0,0.0,14.0,0.0,False
1,2009,1,2.0,20090329,21,10,15,58,0.0,20.0,11.0,6.0,0.0,6.0,0.0,0.0,11.0,0.0,0.0,14.0,0.0,False
1,2009,1,2.0,20090329,17,9,8,57,0.0,2.0,27.0,1.0,0.0,8.0,0.0,0.0,12.0,0.0,0.0,14.0,0.0,False
1,2009,1,2.0,20090329,20,9,3,56,0.0,15.0,27.0,1.0,0.0,8.0,0.0,0.0,13.0,0.0,0.0,14.0,0.0,False
1,2009,1,2.0,20090329,9,2,4,55,0.0,26.0,6.0,5.0,0.0,7.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,False
1,2009,1,2.0,20090329,8,6,7,55,0.0,13.0,10.0,8.0,0.0,9.0,0.0,0.0,15.0,0.0,0.0,14.0,0.0,False
1,2009,1,2.0,20090329,13,6,6,45,0.0,5.0,10.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,False
1,2009,1,2.0,20090329,12,4,14,24,4.0,5.0,28.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,False
1,2009,1,2.0,20090329,6,3,11,17,3.0,21.0,36.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,False
1,2009,1,2.0,20090329,5,1,12,0,0.0,13.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,False
1,2009,1,2.0,20090329,1,1,18,58,0.0,6.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,False
2,2009,2,22.0,20090405,18,23,1,31,7.0,6.0,8.0,2.0,25.0,1.0,2.0,15.0,1.0,2.0,30.0,10.0,15.0,True
2,2009,2,22.0,20090405,2,2,10,31,4.0,15.0,6.0,5.0,4.0,3.0,0.0,4.0,5.0,0.0,30.0,10.0,15.0,False
2,2009,2,22.0,20090405,10,7,3,31,5.5,15.0,34.0,9.0,16.5,2.0,0.0,8.0,4.0,0.0,30.0,10.0,15.0,False
2,2009,2,22.0,20090405,15,7,2,31,5.5,20.0,34.0,9.0,16.5,2.0,0.0,8.5,3.0,0.0,30.0,10.0,15.0,False
2,2009,2,22.0,20090405,22,23,8,31,7.0,5.0,8.0,2.0,25.0,1.0,2.0,10.0,2.0,0.0,30.0,10.0,15.0,False
2,2009,2,22.0,20090405,17,9,5,31,1.5,2.0,27.0,1.0,1.5,7.0,0.0,1.5,9.0,0.0,30.0,10.0,15.0,False
2,2009,2,22.0,20090405,1,1,12,31,1.0,6.0,22.0,2.0,1.0,8.0,0.0,1.0,10.0,0.0,30.0,10.0,15.0,False
2,2009,2,22.0,20090405,3,3,4,31,0.5,15.0,36.0,2.0,3.5,5.0,0.0,3.5,7.0,0.0,30.0,10.0,15.0,False
2,2009,2,22.0,20090405,13,6,16,31,0.0,5.0,10.0,8.0,0.0,10.0,0.0,0.0,13.0,0.0,30.0,10.0,15.0,False
2,2009,2,22.0,20090405,7,5,15,31,0.0,14.0,33.0,8.0,3.0,6.0,0.0,1.0,11.0,0.0,30.0,10.0,15.0,False
2,2009,2,22.0,20090405,4,4,9,31,0.0,29.0,28.0,4.0,4.0,4.0,0.0,4.0,6.0,0.0,30.0,10.0,15.0,False
2,2009,2,22.0,20090405,6,3,11,31,0.5,21.0,36.0,2.0,3.5,5.0,0.0,0.0,15.0,0.0,30.0,10.0,15.0,False
2,2009,2,22.0,20090405,12,4,17,31,0.0,5.0,28.0,4.0,4.0,4.0,0.0,0.0,17.0,0.0,30.0,10.0,15.0,False
2,2009,2,22.0,20090405,8,6,7,31,0.0,13.0,10.0,8.0,0.0,10.0,0.0,0.0,18.0,0.0,30.0,10.0,15.0,False
2,2009,2,22.0,20090405,20,9,13,30,1.5,15.0,27.0,1.0,1.5,7.0,0.0,0.0,16.0,0.0,30.0,10.0,15.0,False
2,2009,2,22.0,20090405,67,5,20,30,0.0,31.0,33.0,8.0,3.0,6.0,0.0,2.0,8.0,0.0,30.0,10.0,15.0,False
2,2009,2,22.0,20090405,16,10,19,30,0.0,15.0,11.0,6.0,0.0,9.0,0.0,0.0,12.0,0.0,30.0,10.0,15.0,False
2,2009,2,22.0,20090405,21,10,18,29,0.0,20.0,11.0,6.0,0.0,9.0,0.0,0.0,14.0,0.0,30.0,10.0,15.0,False
2,2009,2,22.0,20090405,9,2,6,1,4.0,26.0,6.0,5.0,4.0,3.0,0.0,0.0,19.0,0.0,30.0,10.0,15.0,False
